toggl_project_name,toggl_project_id,td_project_name,td_project_id
HFR 3rd Floor Training room,127596746,NO_TD_PROJECT,NO_TD_PROJECT
HFR 420 Renovation,168527067,HFR 420 Suite Renovation,418278
HFR 452 Remediation,111449950,NO_TD_PROJECT,NO_TD_PROJECT
HFR 510 Remediation,111448580,NO_TD_PROJECT,NO_TD_PROJECT
HHS Classroom Redesign Proposal,111451793,NO_TD_PROJECT,NO_TD_PROJECT
HHS Vaccination Clinic,167419980,NO_TD_PROJECT,NO_TD_PROJECT
*Hunter H59 Conference Room Upgrade,14174326,NO_TD_PROJECT,NO_TD_PROJECT
IC AV Power Saving and Programming Upgrades,111452042,NO_TD_PROJECT,NO_TD_PROJECT
IC Inventory Updates -Spring 2018,111452089,NO_TD_PROJECT,NO_TD_PROJECT
IC Office Dashboard Development,111452625,NO_TD_PROJECT,NO_TD_PROJECT
"*Instructional Inventory – Assets, Processes and Lifecycles 201",14174440,NO_TD_PROJECT,NO_TD_PROJECT
*Instructional Space Upgrades – Spring 2016,14174458,NO_TD_PROJECT,NO_TD_PROJECT
Instructional Technology AV Equipment Upgrades - Spring 2018,111452678,NO_TD_PROJECT,NO_TD_PROJECT
IT Collocation,126320819,NO_TD_PROJECT,NO_TD_PROJECT
ITDS Program Review,111452690,NO_TD_PROJECT,NO_TD_PROJECT
IT Phishing Response,120773808,NO_TD_PROJECT,NO_TD_PROJECT
IT Promotional / My IT,120788240,NO_TD_PROJECT,NO_TD_PROJECT
IT Service Catalog Assessment,120774015,NO_TD_PROJECT,NO_TD_PROJECT
ITSM Process Review,163623299,NO_TD_PROJECT,NO_TD_PROJECT
Killian 102 Upgrades,111452698,NO_TD_PROJECT,NO_TD_PROJECT
Killian 202 Upgrades,111452725,NO_TD_PROJECT,NO_TD_PROJECT
Killian 306F AV Upgrades,113945200,NO_TD_PROJECT,NO_TD_PROJECT
Learning Spaces IP Intercom Replacement,128352350,NO_TD_PROJECT,NO_TD_PROJECT
Learning Spaces IP Intercom Replacement - Phase 2,155477447,NO_TD_PROJECT,NO_TD_PROJECT
Lower Campus Residence Hall,148888347,Lower Campus Residence Hall,283748
MakerFaire,120774089,NO_TD_PROJECT,NO_TD_PROJECT
Managed Print Services 2018 Replacement,120774573,NO_TD_PROJECT,NO_TD_PROJECT
Management and Personnel Actions,120587428,NO_TD_PROJECT,NO_TD_PROJECT
McKee 229 - Promethean Board Integration,111452812,NO_TD_PROJECT,NO_TD_PROJECT
Meetings,13866425,NO_TD_PROJECT,NO_TD_PROJECT
Migration to Office365 ProPlus,120784671,NO_TD_PROJECT,NO_TD_PROJECT
Mobile Device Management Tool Analysis,120782330,NO_TD_PROJECT,NO_TD_PROJECT
Moore Renovation Phase I,122586114,NO_TD_PROJECT,NO_TD_PROJECT
Monthly Project Review Meeting,174199617,Monthly Project Review Meeting,420319
myWCU Phase 3 & 4,120774673,NO_TD_PROJECT,NO_TD_PROJECT
*Natural Science 227 Renovation,14174467,NO_TD_PROJECT,NO_TD_PROJECT
Office/Email/Scheduling/Time Tracking,13866431,NO_TD_PROJECT,NO_TD_PROJECT
Office Work,120433857,NO_TD_PROJECT,NO_TD_PROJECT
OPS imaging Plan,111452871,NO_TD_PROJECT,NO_TD_PROJECT
*OSX and iOS Enterprise Software Management Implementation,14174481,NO_TD_PROJECT,NO_TD_PROJECT
"Personal Device Antivirus/Security Implementation	",147241380,NO_TD_PROJECT,NO_TD_PROJECT
Personal Time,13897720,NO_TD_PROJECT,NO_TD_PROJECT
Power Saver Settings,111448592,NO_TD_PROJECT,NO_TD_PROJECT
Professional Development,14530879,NO_TD_PROJECT,NO_TD_PROJECT
Project Template,142289848,NO_TD_PROJECT,NO_TD_PROJECT
Project - To Be Determined,13866430,NO_TD_PROJECT,NO_TD_PROJECT
Project Work,13866546,NO_TD_PROJECT,NO_TD_PROJECT
Ramsey Concession Stands Digital Signage,160683370,NO_TD_PROJECT,NO_TD_PROJECT
Reid Bowling Alley Renovation,147336188,NO_TD_PROJECT,NO_TD_PROJECT
*Research for Virtual Software Delivery for Students,14174492,NO_TD_PROJECT,NO_TD_PROJECT
Residence Hall AV Upgrade,160675471,NO_TD_PROJECT,NO_TD_PROJECT
Sept 2020 BOT Meeting Setup,162960008,NO_TD_PROJECT,NO_TD_PROJECT
Sharelink Support Pages and Tutorials,111448721,NO_TD_PROJECT,NO_TD_PROJECT
Shift Left Development and Implementation,120774674,NO_TD_PROJECT,NO_TD_PROJECT
Six Sigma Asset Project,156468078,NO_TD_PROJECT,NO_TD_PROJECT
Steam Plant Renovation,149827930,Steam Plant Renovation,374388
STEM Building,122224375,Apodaca (STEM) Building,281508
Support for Laptop Requirement,120774927,NO_TD_PROJECT,NO_TD_PROJECT
Team Area Coverage,14530084,NO_TD_PROJECT,NO_TD_PROJECT
Team Area Coverage,120585772,NO_TD_PROJECT,NO_TD_PROJECT
Technology Commons Active Learning Classroom,162158214,Technology Commons Active Learning Classroom,405816
Tickets - Incidents,13866423,NO_TD_PROJECT,NO_TD_PROJECT
Tickets - Service Requests,13866424,NO_TD_PROJECT,NO_TD_PROJECT
Training Hub Steering Committee,171615367,NO_TD_PROJECT,NO_TD_PROJECT
UC First Floor Renovation,154822874,NO_TD_PROJECT,NO_TD_PROJECT
UC upgrades summer 2021,168527250,UC 2nd & 3rd Floor Renovations,420006
UNCA VDI Hosting POC,120787614,NO_TD_PROJECT,NO_TD_PROJECT
UNC CAUSE,164856564,UNC CAUSE 2021,412788
University Policy 67 Revision,129894748,NO_TD_PROJECT,NO_TD_PROJECT
VCAT Student Software Delivery,120787899,NO_TD_PROJECT,NO_TD_PROJECT
VDI Product Management,128353288,NO_TD_PROJECT,NO_TD_PROJECT
WebCheckout Portal Implementation,120774952,NO_TD_PROJECT,NO_TD_PROJECT
Webwork Replacement Evaluation,171005837,NO_TD_PROJECT,NO_TD_PROJECT
*Windows10/Mac OS X (El Capitan) Evaluation and Implementation,14239144,NO_TD_PROJECT,NO_TD_PROJECT
Windows 7 Retirement,150665341,NO_TD_PROJECT,NO_TD_PROJECT
*Workroom AV testing installation,14174500,NO_TD_PROJECT,NO_TD_PROJECT
WS1/Airwatch Planning,153152684,NO_TD_PROJECT,NO_TD_PROJECT
Zoom Phase 2 Rollout,122231554,NO_TD_PROJECT,NO_TD_PROJECT
Zoom Telehealth Transition,165064874,NO_TD_PROJECT,NO_TD_PROJECT
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,CATalytics Annual Roadmap,229494
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,CFC 21-22 External Engagement and Service,419973
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,"CFC 21-22 Marketing, Communications, Research, and Publication",419839
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,"CFC 21-22 Operations, Integrations, Improvements, and Vendor Mgt.",419976
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,"CFC 21-22 Planning, Assessment, Management and Compliance",419977
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,CFC 21-22 Training and Development,419837
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,CFC COVID Response Project Work,401329
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,2020 - 2021 Performance Mgt Goals/One-Pager Goals,405973
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,2021 - 2022 Data Center Outage Project,420240
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,2021 - 2022 Performance Mgt Goals/One-Pager Goals,420244
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,Accessible Information Management (AIM) Implementation,404300
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,Adding Catalog to the WCU Canvas Environment,415863
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,Addressing Insecure LDAP Bindings,398124
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,AEITG 2020-2021 IT 1-pager Actions,409416
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,Annette's Project,297249
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,Application Release Update Lifecycle,408232
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,Applications Services Operating Procedures,251261
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,Architecture Council,404719
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,Athletics Ticketing System Replacement,398585
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,Azure MFA Transition,418755
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,Banner 9 Self Service: HR,402592
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,Banner 9 Self Service: Student and Faculty,402536
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,Banner Forced Update and Notification,301971
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,Banner Release Cycle Planning and Execution,413607
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,Becca's Card Wall,264350
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,BeyondTrust (Bomgar) Tool Management and Web Presence,413728
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,Board of Trustees Migration/New Site in 0365,420318
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,Cherwell Product Releases 2021 - 2022,420618
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,Cherwell Requests - Data Center Services,211218
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,ClinicNote Implementation,411784
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,Conference Room Standard Offering (Zoom Rooms),405838
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,Core Network Upgrade,389187
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,Coulter E-Classroom Upgrades to Hi-Flex Rooms,401921
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,COVID - Fall Solutions and Communication,404540
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,CTO Internal Project 2020-2021,406777
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,CTO Internal Project 2021-2022,420300
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,Data Center Process Improvements,243995
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,Data Center Security Improvements,400524
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,Data Center Services Operational Forecast - KTLO,211195
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,Data Center VMWare Improvements,360794
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,Digital Signage Client Map,379113
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,DR Run Document Creation,398976
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,Endpoint Device Management Tool - Phase 2,405903
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,Endpoint Management,384675
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,ERP Ancillary Upgrades,408062
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,External Firewall rule validation and enhancement,401605
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,Firefly Server Replacement,411034
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,Graduate School CRM Replacement,398928
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,"Honors College Update for ""Stop-Out"" Status",408505
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,IGA Phase 5 (Banner & CataMart process & security automation),298878
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,Implement Secret Server Platinum Features,392636
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,InfoEd Implementation and Integration,403764
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,IT Closets on Emergency Generators Phase 3,307710
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,IT Collocation,314047
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,IT Wiring Closet Security Upgrade Phase 3,296800
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,ITSM Process Review,410442
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,ITSO 2020-2021 Internal Project,406736
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,ITSO 2021-2022,420173
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,Jaggaer Upgrades Implementation,388325
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,KTLO - Apps and Web,236781
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,Litigation Process - Policies and procedures for IT and Legal,406621
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,Local Database Backups,277911
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,Log Management System,391066
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,,
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,Microsoft Defender for Endpoint - Deployment,415055
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,Microsoft Teams Roadmap and Governance for Campus,405260
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,Monthly Project Review Meeting,420319
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,myWCU Product Releases,307776
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,Netbackup DR Master Migration,419577
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,New Certificate Environment,309759
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,OnBase Implementation for Office of Accessibility Resources,394385
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,Phone Directory Process Improvement,415941
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,PMO Internal Project,420237
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,Populate Faculty Schedules in Outlook,380558
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,Preferred Name Change in Blackboard,297142
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,Privileged Account/Service Account Audit,413124
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,Product and Release Mgt - Phase 2 (1-Pager),294664
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,Ramsey Concession Stands Digital Signage,402876
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,Reduce Self-Signed/Untrusted Cert Vulnerabilities,310024
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,Release Management,392416
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,SDLC / Project Phases Governance Project,392381
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,SecureShare Cluster Setup,417185
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,Service Requests - Systems Engineering,211219
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,SharePoint Migration Plan,398405
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,SharePoint Migration Planning and Proof of Concept Work,211214
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,Shift Left Development and Implementation,293762
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,Standard Testing Methodology Implementation,414351
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,Summer Personnel Action Form (PAF) Workflow,412534
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,TC Digital Signage Revamp,402879
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,Technology Commons Campus Impact Plan,420054
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,Undergraduate Admissions CRM Replacement,399552
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,University Org,295700
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,Upgrade strategy for OnBase,410237
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,"Vaccination Status Reporting for Students, Faculty and Staff",420637
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,VDI Product Management 2019/2020,386375
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,Vendor Management Contract DB Data Transfer,385038
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,Web Application Server Migration,396139
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,WiFi onboarding tool replacement,403875
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,Wired Port Authentication - Implementation,415611
NO_TOGGL_PROJECT,NO_TOGGL_PROJECT,BOG IT Governance,418661
